;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40
2;100;93;87;80;73;67;62;57;52;48;44;40;37;34;31;28;26;23;21;19;18;16;15;13;12;11;10;9;8;7;7;6;5;;;;;;;;
1;100;93;86;79;72;66;61;56;51;47;43;39;36;33;30;27;25;23;21;19;17;16;14;13;12;11;10;9;8;7;6;6;5;;;;;;;;
0;100;92;85;78;71;66;60;55;51;46;42;39;35;32;30;27;25;22;20;18;17;15;14;13;11;10;9;8;8;7;6;6;5;;;;;;;;
-1;100;92;85;78;71;65;60;55;50;46;42;38;35;32;29;27;24;22;20;18;17;15;14;12;11;10;9;8;7;7;6;5;;;;;;;;;
-2;100;92;84;78;71;65;60;55;50;46;42;38;35;32;29;26;24;22;20;18;16;15;13;12;11;10;9;8;7;7;6;5;;;;;;;;;
-3;100;92;84;77;71;65;60;54;50;46;42;38;35;32;29;26;24;22;20;18;16;15;13;12;11;10;9;8;7;6;6;5;;;;;;;;;
-4;100;92;84;77;71;65;59;54;50;45;41;38;34;31;28;26;23;21;19;18;16;14;13;12;11;10;9;8;7;6;6;5;;;;;;;;;
-5;100;92;84;77;71;65;59;54;49;45;41;37;34;31;28;26;23;21;19;17;16;14;13;12;10;9;8;8;7;6;6;5;;;;;;;;;
-6;100;92;84;77;70;64;59;54;49;45;41;37;34;31;28;25;23;21;19;17;15;14;13;11;10;9;8;7;7;6;5;;;;;;;;;;
-7;100;92;84;77;70;64;59;53;49;44;40;37;33;30;28;25;23;21;19;17;15;14;12;11;10;9;8;7;6;6;5;;;;;;;;;;
-8;100;92;84;77;70;64;58;53;48;44;40;37;33;30;27;25;22;20;18;17;15;14;12;11;10;9;8;7;6;6;5;;;;;;;;;;
-9;100;92;84;76;70;64;58;53;48;44;40;36;33;30;27;25;22;20;18;16;15;13;12;11;10;9;8;7;6;6;5;;;;;;;;;;
-10;100;91;84;76;70;64;58;53;48;44;40;36;33;30;27;24;22;20;18;16;15;13;12;11;10;9;8;7;6;5;;;;;;;;;;;
-11;100;91;83;76;69;63;58;52;48;43;39;36;32;29;26;24;22;20;18;16;14;13;12;10;9;8;7;7;6;5;;;;;;;;;;;
-12;100;91;83;76;69;63;57;52;47;43;39;35;32;29;26;24;21;19;17;16;14;13;11;10;9;8;7;7;6;5;;;;;;;;;;;
-13;100;91;83;76;69;63;57;52;47;43;39;35;32;29;26;23;21;19;17;15;14;12;11;10;9;8;7;6;6;5;;;;;;;;;;;
-14;100;91;83;76;69;63;57;52;47;42;38;35;31;28;26;23;21;19;17;15;14;12;11;10;9;8;7;6;6;5;;;;;;;;;;;
